"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 19, 2020","55.17","56.33","56.60","54.71","37.86M","-1.78%"
"Jun 18, 2020","56.17","56.30","56.54","55.61","25.69M","-0.05%"
"Jun 17, 2020","56.20","55.49","56.44","55.15","27.57M","1.46%"
"Jun 16, 2020","55.39","55.49","55.50","54.22","29.17M","2.80%"
"Jun 15, 2020","53.88","52.50","54.43","52.13","27.32M","0.90%"
"Jun 12, 2020","53.40","53.71","54.05","51.98","31.18M","-1.48%"
"Jun 10, 2020","54.20","54.91","55.20","53.76","24.19M","-1.44%"
"Jun 09, 2020","54.99","54.16","54.99","54.12","19.61M","0.38%"
"Jun 08, 2020","54.78","54.98","55.65","53.98","27.19M","0.31%"
"Jun 05, 2020","54.61","56.39","56.70","54.34","39.64M","-1.89%"
"Jun 04, 2020","55.66","53.72","55.70","53.52","37.38M","3.73%"
"Jun 03, 2020","53.66","53.42","54.33","53.39","-","0.45%"
"Jun 02, 2020","53.42","53.80","53.80","53.00","25.42M","0.00%"
"Jun 01, 2020","53.42","52.82","53.85","52.50","27.01M","0.79%"
"May 29, 2020","53.00","51.40","53.00","51.06","92.24M","5.81%"
"May 28, 2020","50.09","51.00","51.65","50.05","23.34M","-1.09%"
"May 27, 2020","50.64","49.84","50.83","48.78","31.74M","2.93%"
"May 26, 2020","49.20","50.38","50.52","48.84","28.76M","-1.80%"
"May 25, 2020","50.10","51.41","51.68","49.92","21.01M","-0.34%"
"May 22, 2020","50.27","50.77","51.10","49.90","23.41M","-1.68%"
"May 21, 2020","51.13","52.29","52.66","50.37","41.72M","-2.61%"
"May 20, 2020","52.50","53.37","53.67","52.50","26.91M","0.11%"
"May 19, 2020","52.44","51.30","52.71","51.09","27.61M","2.30%"
"May 18, 2020","51.26","50.34","51.60","49.95","41.83M","6.68%"
"May 15, 2020","48.05","48.69","49.30","48.05","34.99M","-0.08%"
"May 14, 2020","48.09","47.95","48.46","46.94","35.39M","-0.93%"
"May 13, 2020","48.54","48.17","49.18","47.66","34.01M","2.28%"
"May 12, 2020","47.46","48.43","48.60","47.46","21.62M","-0.57%"
"May 11, 2020","47.73","48.21","49.25","47.73","24.62M","-2.29%"
"May 08, 2020","48.85","47.50","48.96","46.97","33.80M","6.08%"
"May 07, 2020","46.05","45.63","46.98","45.45","42.05M","3.88%"
"May 06, 2020","44.33","44.19","44.76","43.61","26.49M","1.44%"
"May 05, 2020","43.70","44.45","45.03","43.70","18.96M","-0.52%"
"May 04, 2020","43.93","43.70","44.33","43.40","16.87M","-2.07%"
"Apr 30, 2020","44.86","45.71","46.17","44.76","25.39M","-4.00%"
"Apr 29, 2020","46.73","45.35","47.38","44.84","32.98M","4.75%"
"Apr 28, 2020","44.61","45.20","45.29","43.48","25.47M","0.13%"
"Apr 27, 2020","44.55","44.46","45.05","43.86","25.42M","1.81%"
"Apr 24, 2020","43.76","43.37","44.20","41.83","54.90M","0.57%"
"Apr 23, 2020","43.51","43.29","44.69","42.81","26.98M","1.42%"
"Apr 22, 2020","42.90","42.60","43.24","42.05","22.53M","1.04%"
"Apr 20, 2020","42.46","43.26","43.26","42.23","28.90M","-3.50%"
"Apr 17, 2020","44.00","43.90","44.23","43.22","23.53M","2.90%"
"Apr 16, 2020","42.76","43.80","43.99","42.04","24.26M","-1.00%"
"Apr 15, 2020","43.19","43.50","43.90","42.61","28.69M","-3.01%"
"Apr 14, 2020","44.53","45.62","46.00","44.50","24.64M","-0.09%"
"Apr 13, 2020","44.57","43.20","44.57","42.98","21.95M","2.98%"
"Apr 09, 2020","43.28","43.95","44.47","42.84","29.80M","-0.53%"
"Apr 08, 2020","43.51","43.50","44.25","43.05","29.33M","-0.62%"
"Apr 07, 2020","43.78","45.19","45.50","43.56","34.06M","1.51%"
"Apr 06, 2020","43.13","42.60","43.39","41.97","31.84M","6.49%"
"Apr 03, 2020","40.50","42.80","42.87","39.76","31.54M","-5.33%"
"Apr 02, 2020","42.78","43.95","44.57","41.92","34.27M","-1.36%"
"Apr 01, 2020","43.37","41.81","44.12","41.20","37.02M","0.35%"
"Mar 31, 2020","43.22","42.30","44.49","42.22","39.03M","3.47%"
"Mar 30, 2020","41.77","40.92","42.32","40.74","31.19M","4.16%"
"Mar 27, 2020","40.10","39.30","41.44","39.20","32.16M","-4.52%"
"Mar 26, 2020","42.00","41.01","42.41","39.99","35.39M","2.82%"
"Mar 25, 2020","40.85","38.19","41.35","38.09","37.93M","8.53%"
"Mar 24, 2020","37.64","36.86","38.65","36.86","36.95M","10.38%"
"Mar 23, 2020","34.10","35.55","35.86","33.37","41.74M","-3.10%"
"Mar 20, 2020","35.19","37.90","39.41","34.71","50.20M","-3.32%"
"Mar 19, 2020","36.40","37.50","39.00","35.26","52.14M","-5.82%"
"Mar 18, 2020","38.65","38.80","40.87","35.70","59.55M","-6.89%"
"Mar 17, 2020","41.51","40.50","43.57","39.11","52.59M","6.33%"
"Mar 16, 2020","39.04","36.01","41.40","36.01","58.83M","-9.00%"
"Mar 13, 2020","42.90","42.00","44.03","37.00","67.25M","21.36%"
"Mar 12, 2020","35.35","36.00","36.00","32.45","61.99M","-13.23%"
"Mar 11, 2020","40.74","43.01","44.29","39.00","49.61M","-9.08%"
"Mar 10, 2020","44.81","41.90","45.34","40.80","62.97M","18.45%"
"Mar 09, 2020","37.83","40.45","41.54","37.81","58.88M","-15.20%"
"Mar 06, 2020","44.61","44.20","45.82","43.65","39.72M","-4.78%"
"Mar 05, 2020","46.85","47.66","47.95","45.95","29.09M","-3.54%"
